report_date,publication_date,manager_name,issuer,cusip,value_usd_thousands,shares,verification_state,notes
2020-09-30,2020-10-29 07:08:40,Exor Investments (UK) LLP,VEON LTD,91822M106,66924,53114362,PRIMARY_SEC,
2020-09-30,2020-10-29 07:08:40,Exor Investments (UK) LLP,RANGE RES CORP,75281A109,47108,7115947,PRIMARY_SEC,
2020-09-30,2020-10-29 07:08:40,Exor Investments (UK) LLP,SCHLUMBERGER LTD,806857108,110707,7059076,PRIMARY_SEC,
2020-09-30,2020-10-29 07:08:40,Exor Investments (UK) LLP,LIBERTY OILFIELD SVCS INC,53115L104,9610,1202714,PRIMARY_SEC,ENTRY_Q3_2020
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,CAMECO CORP,13321L108,136524,10188363,PRIMARY_SEC,
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,HARMONY GOLD MNG LTD,413216300,54797,11708722,PRIMARY_SEC,
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,NEW GOLD INC CDA,644535106,13449,6141202,PRIMARY_SEC,
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,NOVAGOLD RES INC,66987E206,62505,6463807,PRIMARY_SEC,
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,SIBANYE STILLWATER,82575P107,152975,9627093,PRIMARY_SEC,
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,VEON LTD,91822M106,100195,66354260,PRIMARY_SEC,
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,RANGE RES CORP,75281A109,53700,8014920,PRIMARY_SEC,
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,GATOS SILVER INC,368036109,24828,1905420,PRIMARY_SEC,ENTRY_Q4_2020
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,VANECK VECTORS ETF TR JR GOLD MINERS E,92189F791,15784,291000,PRIMARY_SEC,REENTRY_Q4_2020
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,SCHLUMBERGER LTD,806857108,170162,7750476,PRIMARY_SEC,
2020-12-31,2021-01-20 12:23:54,Exor Investments (UK) LLP,LIBERTY OILFIELD SVCS INC,53115L104,42457,4118054,PRIMARY_SEC,
