replication,offset,winner,validation_sharpe,validation_excess_total_return,oos_sharpe,oos_excess_total_return,passes_validation,sealed_oos_pass
151,2352,CROSS_5_50,0.9626438743775458,-0.20991618640755272,0.9494730837994806,-0.2938259445745268,False,False
152,3667,CROSS_60_100,0.6040058676338722,-0.10183406915651672,0.06811730756189843,-0.3320701503231104,False,False
153,2681,CROSS_20_200,0.2887130517620023,-0.21018759748463456,1.2796733386889663,0.05677506766237106,False,False
154,934,CROSS_40_50,0.421612828680911,-0.5840598311957463,0.7994242677078358,0.2663177031123476,False,False
155,2324,BREAKOUT_20,0.5160376841070616,-0.6224689148018476,1.1058281666613958,-0.28314399303616544,False,False
156,1647,BREAKOUT_20,0.8480986804563018,-0.356752641306028,1.0802178299946343,-0.482737977558811,False,False
157,920,CROSS_5_50,0.9015151916129249,-0.21428167561682931,0.46998830149431076,-0.08198173796254271,False,False
158,4446,CROSS_5_100,1.1202931840415793,-0.48148164190550435,-0.1474590484441339,-0.030083206942923102,False,False
159,3194,CROSS_40_200,0.0863807698913059,-0.25705333455268065,0.9712295528460355,-0.023391316764015624,False,False
160,688,CROSS_5_50,0.5349731698043412,-0.518459109428612,0.46011542592589316,-0.6591242291007766,False,False
161,2755,CROSS_10_100,0.48417208895247354,0.03770052590147377,1.23050769518907,-0.08920906263237405,True,False
162,3354,CROSS_40_200,-0.39212464328015384,-0.35555644292582134,0.7828662238510173,-0.26786385698139803,False,False
163,3618,TREND_SMA_50,0.28422550475477476,-0.24050539690444195,0.26360410151765457,-0.29331558351769527,False,False
164,1388,CROSS_60_150,0.7696428178360064,-0.5752467183620622,0.8481051878395713,-0.5819152837296335,False,False
165,943,CROSS_10_100,0.6242868946276509,-0.4479734651755354,0.3608807992715916,-0.36300318341085247,False,False
166,4794,CROSS_40_50,0.5545865413088165,-0.1887486743861453,0.5803250855256237,-0.2259257087805857,False,False
167,4713,MOM_252,0.4070873612043357,-0.36305002835814215,0.8411778639311767,0.06256003175985159,False,False
168,481,CROSS_60_150,0.483107494348681,-1.328917211109288,0.33517141110288273,-0.33083598897040556,False,False
169,5184,CROSS_10_50,0.5040186131729739,-0.5054983790271139,0.21805472049132404,-0.7104049892610138,False,False
170,2248,MOM_252,0.8408481443947293,-0.3396317542653833,1.0996563600772769,-0.059129826688026244,False,False
171,2187,MOM_252,0.9135655543656999,-0.054019854614979046,0.9806259793241895,-0.26424814538369845,False,False
172,530,TREND_SMA_20,0.5288468970746901,-1.2317715359045864,-0.10882062170318407,-0.8023491904659573,False,False
173,4981,CROSS_5_50,0.3790046331056893,-0.5487130541254621,0.7129769352171588,-0.06803604132856855,False,False
174,2272,MOM_252,0.7604852047877887,-0.43710492263266,1.0816029601505868,-0.03692901406712723,False,False
175,582,MOM_252,1.018866567207961,-0.6622350086265882,0.5014143503971963,-0.23313943402001813,False,False
176,3518,MOM_60,0.22912758629041008,0.30574888438803716,1.0180855050029705,-0.34487367849155026,True,False
177,4993,CROSS_20_50,0.24595849715704934,-0.6548611209746047,0.661282756529721,-0.16648118279238555,False,False
178,385,BREAKOUT_100,0.7704407167976455,-0.7996388933248597,0.7637417775288093,0.07181041625980766,False,False
179,2856,CROSS_20_200,0.006225277557386212,-0.21394382725273742,1.415257540952873,-0.15350187475992438,False,False
180,377,BREAKOUT_100,0.9639533764768861,-0.6086483389678934,0.8219836676229099,0.2785632025911331,False,False
181,1475,TREND_SMA_20,0.7675601002522756,-0.6360568177741133,0.6121633311399672,-0.8613537754152494,False,False
182,807,TREND_SMA_50,0.46428955041071107,-0.6300071521397097,0.6266133470774745,-0.3112803788504339,False,False
183,1395,TREND_SMA_100,0.9079994950304815,-0.42867404234473705,1.145437175389396,-0.12959018238415343,False,False
184,4310,CROSS_10_100,1.027542952273333,-0.07933274085516162,-0.1279465959065848,-0.09985353986318801,False,False
185,3923,CROSS_60_150,0.7928406075234546,-0.23979375876980646,0.16129202634112738,-0.1865145607804073,False,False
186,4517,CROSS_40_50,1.0522819764324676,-0.4023612270761667,0.07035926503448346,-0.15064402735476423,False,False
187,2842,CROSS_20_200,0.090651918006101,-0.21305745617966243,1.35226772504484,-0.07823121690347534,False,False
188,2171,MOM_252,1.0168442257920902,-0.1361579994331612,1.0592286765932042,-0.23112364193122148,False,False
189,4113,CROSS_40_100,0.4600939042012086,-0.3851319396867636,0.32420770946697924,-0.12779110229318058,False,False
190,3108,TREND_SMA_20,-0.04162150229144987,-0.2918332681640222,0.7258959209075327,-0.6735335352367962,False,False
191,1352,MOM_60,0.6032535266398114,-0.6373141402297406,0.9816998615478143,-0.3947488919875175,False,False
192,2957,BREAKOUT_55,0.2823623950133877,-0.16023046136831254,0.9655623148294652,-0.24415951394735425,False,False
193,3266,TREND_SMA_50,-0.18801208435828487,-0.3125568207007243,0.6929692133572536,-0.2834458563444049,False,False
194,5063,CROSS_5_100,0.4930479902073767,-0.5113776724378034,0.5863447273593055,0.0005280343236224727,False,False
